Left,Bottom,Right,Top
-90.6035,34.5423,-89.8091,35.7157
-91.1044,33.9711,-90.0613,35.1527
-91.0657,34.5545,-90.4576,35.466
-90.9558,34.0098,-90.3477,34.9274
-91.0869,33.8188,-90.6685,34.4191
-91.2872,33.5647,-90.8188,34.3103
-91.5219,32.1863,-90.7441,34.0021
-91.2228,31.7493,-90.7767,32.4714
-91.5573,31.6016,-90.9608,32.0832
-91.6458,31.296,-91.2634,31.8427
-91.78,30.72,-91.3,31.77
-92.2254,29.6251,-90.5964,31.1244
-91.1819,29.2142,-87.9245,30.7197
-94.5881,29.2104,-91.3306,30.3364
-94.0012,33.031,-93.5958,33.6795
-93.9533,32.5085,-93.6968,33.2518
-93.9216,32.3415,-93.502,32.6233
-93.753,32.2304,-93.3991,32.4076
-93.6143,31.983,-93.3451,32.2821
-93.5261,31.8787,-93.0784,32.0797
-93.3899,31.7545,-92.9422,31.9558
-93.2822,31.676,-92.8345,31.8775
-93.1603,31.5553,-92.7126,31.7571
-93.0087,31.4279,-92.5609,31.63
-92.8549,31.3041,-92.4071,31.5064
-92.6351,31.113,-92.1036,31.4303
-92.3101,30.9793,-91.4752,31.405
