Rank,County,Y (Lat),X (Long),Ag District,Cattle
68,Anderson,31.81321543,-95.65251774,East Texas North,51523
219,Andrews,32.30506283,-102.6378839,Southern High Plains,10177
178,Angelina,31.25475875,-94.611742,East Texas South,16124
250,Aransas,28.12709562,-96.99258951,Coastal Bend,2693
41,Archer,33.61539176,-98.68783437,Cross Timbers,64785
189,Armstrong,34.96522076,-101.3572412,Northern High Plains,14772
31,Atascosa,28.89418432,-98.52741302,South Texas,73016
50,Austin,29.88711223,-96.27791829,South Central,60555
17,Bailey,34.0684915,-102.8299069,Southern High Plains,98976
225,Bandera,29.74724753,-99.24637282,Edwards Plateau,8409
65,Bastrop,30.10353518,-97.31187705,South Central,52612
95,Baylor,33.61648147,-99.21351964,Southern Low Plains,39646
126,Bee,28.41736675,-97.74116811,South Central,30130
111,Bell,31.03778267,-97.47790776,Blacklands,34922
123,Bexar,29.44884523,-98.51966309,South Central,31309
199,Blanco,30.26636128,-98.39974086,Edwards Plateau,13700
232,Borden,32.7436916,-101.4317533,Northern Low Plains,6820
99,Bosque,31.90050476,-97.63437613,Blacklands,38635
59,Bowie,33.44572786,-94.42324298,East Texas North,57018
23,Brazoria,29.19345387,-95.45578479,Upper Coast,78907
73,Brazos,30.6610425,-96.3022943,East Texas South,47492
183,Brewster,29.81205836,-103.2518906,Trans-Pecos,15764
203,Briscoe,34.53041048,-101.2085769,Northern High Plains,13175
130,Brooks,27.0315669,-98.21874127,South Texas,28431
92,Brown,31.77432313,-98.99989649,Cross Timbers,40541
63,Burleson,30.49246139,-96.62109399,South Central,53269
147,Burnet,30.78843382,-98.18252382,Edwards Plateau,22100
107,Caldwell,29.83677935,-97.61983479,South Central,35524
190,Calhoun,28.48966896,-96.64708119,Upper Coast,14729
102,Callahan,32.2977738,-99.37359692,Cross Timbers,37809
193,Cameron,26.13847728,-97.51499968,Lower Valley,14424
154,Camp,32.97321771,-94.97860185,East Texas North,20424
168,Carson,35.40346802,-101.3542037,Northern High Plains,18239
171,Cass,33.07750446,-94.34348771,East Texas North,18031
2,Castro,34.53000304,-102.2617608,Northern High Plains,435989
135,Chambers,29.73912276,-94.60891308,Upper Coast,26316
75,Cherokee,31.83695632,-95.16515234,East Texas North,47174
208,Childress,34.52929257,-100.2075664,Northern Low Plains,11728
28,Clay,33.78379717,-98.208958,Cross Timbers,74696
146,Cochran,33.60410808,-102.8285264,Southern High Plains,22733
218,Coke,31.88849293,-100.5298747,Edwards Plateau,10179
117,Coleman,31.77329421,-99.45362579,Southern Low Plains,33168
109,Collin,33.18789055,-96.57248871,Blacklands,35463
151,Collingsworth,34.96498493,-100.2700733,Northern Low Plains,21023
51,Colorado,29.6208542,-96.52630821,South Central,60408
210,Comal,29.80816362,-98.27814516,South Central,11312
20,Comanche,31.9490639,-98.55841538,Cross Timbers,86865
192,Concho,31.32645211,-99.86413426,Edwards Plateau,14525
44,Cooke,33.638465,-97.21247642,Blacklands,63661
52,Coryell,31.39087578,-97.7991883,Blacklands,60249
181,Cottle,34.0776571,-100.2786983,Northern Low Plains,15900
247,Crane,31.42846287,-102.5156425,Trans-Pecos,3423
185,Crockett,30.72291931,-101.4118364,Edwards Plateau,15370
226,Crosby,33.61459873,-101.2998612,Southern High Plains,8361
182,Culberson,31.44709817,-104.5177421,Trans-Pecos,15896
6,Dallam,36.27777107,-102.6021647,Northern High Plains,205554
197,Dallas,32.76653746,-96.77781862,Blacklands,13882
